EMPRESA	ARCHIVO	FECHA	BODEGA	CODIGO	CODIGO FUNCIONAL	CODIGO VINCULADO	CODIGO GENERICO	DESCRIPCION	GRUPO	LINEA	SUBLINEA	FAMILIA	SUBFAMILIA	CATEGORIA	TIPO	MARCA	MODELO	CAT MANAGEMENT	NUEVO	CAT PROPIA 1	CAT PROPIA 2	CAT PROPIA 3	CAT PROPIA 4	CAT PROPIA 5	Estatus	Clasificación	Responsable	CTV	PV	Precio Promoción	Inicio Promoción	Fin Promoción	Horizonte	T Suministro	Frec Repos	GDB	Cam	Etapa	Estado Reposiciones	Nuevo Buff Sug	Comportamiento	Consumo	Cobertura Buffer	Cobertura Inv Proy	Cobertura Ped Min	Días Desabastecimiento	Ventas Perdidas	Posponer BUF	Posponer RED	Posponer GDB	Proveedor	Perfil	Buff Min	Buff Max	PEDID Min	Redondeo Pedido Mínimo	PEDID Min Grupo	Unidad Empaque	Redondeo Unidad Empaque	Porc Aten	Impacto Faltante	Observaciones	Nuevo Buff Real	Buff Act	Buff Calc	Zona Amar	Zona Roja	Color	Color1	Ult Buffer	Buff Ant Estacion	Buff Estacional	Inv Proveed	Inv Fís Act	Estado Buffer	Tráns Act	Negociación	Producción	Embarcado	Comprom	Backorders	Inv Proy Act	Estado Buffer Proy	Ingresos	Egresos	PEDIDCalc	PEDID Prom	PEDID Real	Calendario Estacional	Acción Estacional	Etapa Estacional	T$D	I$D	Rentabilid	Rentabilidad Proy	Vel Efect	Servicio	Ult Cambio	Inicio Per	Fin Per	Ult Transfer Inicial	Ult Transfer Final	Fecha Nuevo Pedido	Fecha Esperada Arribo	Var	Rojo Acum	Negro	Rojo	Amarillo	Verde	Lila	Err Ped Grupo	Color Repos Frec	Omisiones GDB	Numero Fila	Borrar
AGROTA	Repuestos Agropecuarios.xlsm	43313	Bodega Central Agrota	150522083225102		BCS-53156209		CABEZA FILTRO DE ACEITE POWER SAFE	REPUESTOS MOTOCULTORES	LABRANZA				REPUESTOS	Repuestos	FERRARI			0									0	13.47	0			38	12	26	1		SUSP-229				0	0	0	0	0	0				BCS	ESPAÑA BCS			1	Default		1	=	1				0	0	0	0	G	G	1			1000000000	0	0	0	0	0	0	0	0	0	0			0	0					0	0	0	0		0	43276	43276	43542	36526	36526	36526	36610	1	0	0.189054726	0	0	0	0			FALSE		
AGROTA	Repuestos Agropecuarios.xlsm	43313	Bodega Central Agrota	150522100148127		BCS-58056846		CABLE INVERSOR 1.19M	REPUESTOS MOTOCULTORES	LABRANZA				REPUESTOS	Repuestos	FERRARI			0									4.2	8.48	0			38	12	26	1		SUSP-229				0.09	0	0	2.8	0	0				BCS	ESPAÑA BCS			1	Default		1	=	1				0	6	0	0	G	G	1			1000000000	0	0	0	0	0	0	0	0	0	0			0	0					0	0	0	0		0	43276	43276	43542	36526	36526	36526	36610	1	0	0.189054726	0	0	0	0			FALSE		
AGROTA	Repuestos Agropecuarios.xlsm	43313	Bodega Central Agrota	160817175747267		JF-02.012421		ROTOR COMPLETO JF 30P	REPUESTOS PICADORA 	AGROPECUARIA				REPUESTOS	Repuestos	JF			0									86.5	208.89	0			25	12	13	1	+-	LIBRE-281	OK	2	BUF	0.05	5	5	5	0	0				Jf	BRASIL			1	Default		1	=	1				1	2	1	1	R	R	0			1000000000	1	0	0	0	0	0	0	0	1	0			0	1					0	0	0	2.72		1	42857	43138	43313	43139	43234	43230	43223	1.033914241	1	0.50295858	0.473372781	0	0	0			FALSE		
AGROTA	Repuestos Agropecuarios.xlsm	43313	Bodega Central Agrota	10000000013		JF-02.046460		ENGRANAJE CON LANZADOR DE ACEITE JF50 (277)	REPUESTOS PICADORA 	AGROPECUARIA				REPUESTOS	Gris Repuestos	JF			0									31.72	79.9	0			25	12	13	1	-	LIBRE-68	 MFR-13			0.14	8.9	3.6	1.8	0	0				Jf	BRASIL			1	Default		1	=	1				5	6	3	2	R	R	2			1000000000	2	0.6	0	0	0	0	0	0	2	0.6			3	3					0	0	0	2.92		1	43070	43138	43313	43209	43276	43300	43293	1.077052532	0	0.50295858	0.035502959	0.124260355	0.313609467	0		N	FALSE		
AGROTA	Repuestos Agropecuarios.xlsm	43313	Bodega Central Agrota	10000001118		JF-02.052710		ZARANDA KIT JF2D	REPUESTOS PICADORA 	AGROPECUARIA				REPUESTOS	Gris Repuestos	JF			0									66.35	119.77	0			25	12	13	1		LIBRE-281	SAC 		BUF	0.14	3.6	5.4	1.8	0	0				Jf	BRASIL			1	Default		1	=	1				2	6	2	1	L	L	0			1000000000	3	-0.5	0	0	0	0	0	0	3	-0.5			0	1					0	66	0	1.55		2	42857	43138	43313	43209	43276	43300	43293	1.153836077	0	0.431952663	0.325443787	0	0	0.218934911			FALSE		
AGROTA	Repuestos Agropecuarios.xlsm	43313	Bodega Central Agrota	170314170757084		JF-02.060439		BUJE ENGRANAJE INTERMEDIO JF50 40	REPUESTOS PICADORA 	AGROPECUARIA				REPUESTOS	Repuestos	JF			0									2.27	5.3	0			25	12	13	1	-	LIBRE-68	 MFR-83		BUF	0.37	4.1	2.7	0.7	0	0				Jf	BRASIL			1	Default		1	=	1				6	14	4	2	A	A	2			1000000000	4	0.3333	0	0	0	0	0	0	4	0.3333			2	3					0	0	0	2.56		1	43070	43138	43313	43139	43234	43230	43223	1.065095952	0	0.50295858	0	0.159763314	0.313609467	0		N	FALSE		
AGROTA	Repuestos Agropecuarios.xlsm	43313	Bodega Central Agrota	10000000041		JF-03.046449		ENGRANAJE DE MANDO JF50 (279)	REPUESTOS PICADORA 	AGROPECUARIA				REPUESTOS	Gris Accesorio	JF			0									4.09	19.9	0			25	12	13	1	+-	LIBRE-68	OK	7		0.09	13.9	8.3	2.8	0	0				Jf	BRASIL			1	Default		1	=	1				5	4	3	2	R	A	2			1000000000	2	0.6	1	0	0	0	0	0	3	0.4			2	3					0	0	0	7.42		1	43070	43138	43313	43235	43234	43326	43319	1.052533742	170	0.50295858	0.035502959	0	0.437869822	0		R	FALSE		
AGROTA	Repuestos Agropecuarios.xlsm	43313	Bodega Central Agrota	10000000043		JF-03.056705		ENGRANAJE SUPERIOR (276)	REPUESTOS PICADORA 	AGROPECUARIA				REPUESTOS	Gris Repuestos	JF			0									30.01	144	0			25	12	13	1	+-	LIBRE-68	OK	7		0.09	13.9	13.9	2.8	0	0				Jf	BRASIL			1	Default		1	=	1				5	4	3	2	V	V	3			1000000000	5	0	0	0	0	0	0	0	5	0			0	3					0	0	0	7.29		1	43070	43138	43313	43209	43276	43300	43293	1.06321587	170	0.50295858	0	0.147928994	0.325443787	0			FALSE		
AGROTA	Repuestos Agropecuarios.xlsm	43313	Bodega Central Agrota	10000000044		JF-03.060444		ENGRANAJE INTERMEDIARIA 	REPUESTOS PICADORA 	AGROPECUARIA				REPUESTOS	Gris Repuestos	JF			0									22.96	45	0			25	12	13	1	-	LIBRE-68	 MFR-13			0.09	13.9	8.3	2.8	0	0				Jf	BRASIL			1	Default		1	=	1				5	4	3	2	A	A	2			1000000000	3	0.4	0	0	0	0	0	0	3	0.4			2	3					0	0	0	1.84		1	43070	43138	43313	43209	43276	43300	43293	1.062708271	0	0.50295858	0	0.159763314	0.313609467	0		N	FALSE		
AGROTA	Repuestos Agropecuarios.xlsm	43313	Bodega Central Agrota	160630091603877		JF-03.100569PP		"B-2 RAN- 4,5""-EJE 1""-CHAV 6MM "	MEZCLADORAS	AGROPECUARIA				UTILITARIOS	Repuestos	JF			0									21.21	34.8	0			25	12	13	1	-	SUSP-12	SAC 			0.18	13.9	18.1	1.4	0	0				Jf	BRASIL			1	Default		1	=	1				10	7	7	3	A	L	0			1000000000	6	0.4	7	0	0	0	0	0	13	-0.3			0	5					0	0	0	1.23		1.3	43150	43150	43325	43301	43234	43392	43385	0.992562174	0	0.436363636	0	0.424242424	0.060606061	0			FALSE		
AGROTA	Repuestos Agropecuarios.xlsm	43313	Bodega Central Agrota	10000001266		JF-03.100094PP		"POLEA ""A"" 1 RANURA 4"" SIN HUECO"	REPUESTOS PICADORA 	AGROPECUARIA				REPUESTOS	Accesorios de Armado	JF			0									16.56	26.5	0			25	12	13	1	-	LIBRE-149	MAC 		BUF	4.21	2.4	1.3	0.1	0	0				Jf	BRASIL			1	Default		1	=	1				40	158	27	13	R	A	45			1000000000	3	0.925	19	0	0	0	0	0	22	0.45			18	21					99	0	0	1.15		0.65	42989	43138	43313	43301	43276	43392	43385	0.945301216	0	0.171597633	0.467455621	0.313609467	0.023668639	0		V	FALSE		
